Team,Year,Opp1,Opp2,Opp3,Opp4,Opp5,Opp6,Opp7,Opp8,Opp9,Opp10,Opp11,Opp12,Opp13,Opp14,Opp15,Opp16,Opp17
CLE,2025,CIN,BAL,GNB,DET,MIN,PIT,MIA,NWE,NYJ,BAL,LVR,SFO,TEN,CHI,BUF,PIT,CIN
DAL,2025,PHI,NYG,CHI,GNB,NYJ,CAR,WAS,DEN,ARI,LVR,PHI,KAN,DET,MIN,LAC,WAS,NYG
DEN,2025,TEN,IND,LAC,CIN,PHI,NYJ,NYG,DAL,HOU,LVR,KAN,WAS,LVR,GNB,JAX,KAN,LAC
DET,2025,GNB,CHI,BAL,CLE,CIN,KAN,TAM,MIN,WAS,PHI,NYG,GNB,DAL,LAR,PIT,MIN,CHI
GNB,2025,DET,WAS,CLE,DAL,CIN,ARI,PIT,CAR,PHI,NYG,MIN,DET,CHI,DEN,CHI,BAL,MIN
HOU,2025,LAR,TAM,JAX,TEN,BAL,SEA,SFO,DEN,JAX,TEN,BUF,IND,KAN,ARI,LVR,LAC,IND
IND,2025,MIA,DEN,TEN,LAR,LVR,ARI,LAC,TEN,PIT,ATL,KAN,HOU,JAX,SEA,SFO,JAX,HOU
JAX,2025,CAR,CIN,HOU,SFO,KAN,SEA,LAR,LVR,HOU,LAC,ARI,TEN,IND,NYJ,DEN,IND,TEN
KAN,2025,LAC,PHI,DET,BAL,JAX,DET,LVR,WAS,BUF,PHI,NYJ,DAL,HOU,BUF,LAC,TEN,DEN
LVR,2025,NWE,LAC,WAS,CHI,IND,TEN,KAN,JAX,DEN,DAL,CLE,LAC,DEN,PHI,HOU,NYG,KAN
LAC,2025,KAN,PHI,DEN,NYG,WAS,NYJ,MIA,MIN,CIN,PIT,ARI,SFO,WAS,PHI,KAN,HOU,LVR
LAR,2025,HOU,IND,PHI,IND,SFO,BAL,JAX,DET,NOR,SFO,SEA,TAM,DET,ARI,PHI,SEA,ARI
MIA,2025,IND,NWE,BUF,NYJ,CAR,LAC,CLE,ATL,BAL,BUF,WAS,NOR,NYJ,PIT,CIN,TAM,NWE
MIN,2025,CHI,ATL,CIN,PIT,CLE,PHI,LAC,DET,BAL,CHI,GNB,SEA,WAS,DAL,NYG,DET,GNB
NOR,2025,ARI,SFO,SEA,BUF,NYG,NWE,CHI,TAM,LAR,CAR,ATL,MIA,TAM,CAR,NYJ,TEN,ATL
NWE,2025,LVR,MIA,PIT,CAR,BUF,NOR,TEN,CLE,ATL,TAM,NYJ,CIN,NYG,BUF,BAL,NYJ,MIA
NYG,2025,WAS,DAL,KAN,LAC,NOR,PHI,DEN,PHI,SFO,CHI,GNB,DET,NWE,WAS,MIN,LVR,DAL
NYJ,2025,PIT,BUF,TAM,MIA,DAL,DEN,CAR,CIN,CLE,NWE,BAL,ATL,MIA,JAX,NOR,NWE,BUF
PHI,2025,DAL,KAN,LAR,TAM,DEN,NYG,MIN,NYG,GNB,DET,DAL,CHI,LAC,LVR,WAS,BUF,WAS
PIT,2025,NYJ,SEA,NWE,MIN,CLE,CIN,GNB,IND,LAC,CIN,CHI,BUF,BAL,MIA,DET,CLE,BAL
SEA,2025,SFO,PIT,NOR,ARI,TAM,JAX,HOU,WAS,ARI,LAR,TEN,MIN,ATL,IND,LAR,CAR,SFO
SFO,2025,SEA,NOR,ARI,JAX,LAR,TAM,ATL,HOU,NYG,LAR,ARI,CAR,CLE,TEN,IND,CHI,SEA
TAM,2025,ATL,HOU,NYJ,PHI,SEA,SFO,DET,NOR,NWE,BUF,LAR,ARI,NOR,ATL,CAR,MIA,CAR
TEN,2025,DEN,LAR,IND,HOU,ARI,LVR,NWE,IND,LAC,HOU,SEA,JAX,CLE,SFO,KAN,NOR,JAX
WAS,2025,NYG,GNB,LVR,ATL,LAC,CHI,DAL,KAN,SEA,DET,MIA,DEN,MIN,NYG,PHI,DAL,PHI
